"Contig","HGT_contig_length"
"NODE_658_length_16388_cov_18.600441||full_9-(5173..6525)-VOG00520-sp|P03015|GIN_BPMU Serine recombinase gin",1353
"NODE_1251_length_11167_cov_38.629680||full_12-(7680..7985)-K07482-K07482; transposase, IS30 family",306
"NODE_7306_length_2730_cov_4.619439||full_1-(1..435)-K06400-spoIVCA; site-specific DNA recombinase",435
"NODE_807_length_14340_cov_28.397620||full_8-(8135..8740)-K06400-spoIVCA; site-specific DNA recombinase",606
"NODE_807_length_14340_cov_28.397620||full_9-(8731..10011)-K06400-spoIVCA; site-specific DNA recombinase",1281
"NODE_807_length_14340_cov_28.397620||full_10-(9956..11293)-K06400-spoIVCA; site-specific DNA recombinase",1338
"NODE_807_length_14340_cov_28.397620||full_11-(11557..11985)-PF01797.16-Transposase IS200 like",429
"NODE_4157_length_4469_cov_5.697100||full_6-(2941..4152)-K14059-int; integrase",1212
"NODE_3_length_90335_cov_29.870237||full_1 10226-67498/90334_85-(55789..57273)-K06400-spoIVCA; site-specific DNA recombinase",1485
"NODE_4740_length_3993_cov_3.462164||full_4-(1208..2203)-K04763-xerD; integrase/recombinase XerD",996
"NODE_463_length_19187_cov_45.094345||full_21-(12911..14863)-VOG00758-sp|P16942|T629_SHISO Transposase for insertion sequence element IS629",1953
"NODE_6320_length_3127_cov_3.312500||full_4-(920..2545)-K06400-spoIVCA; site-specific DNA recombinase",1626
"NODE_6320_length_3127_cov_3.312500||full_5-(2545..3075)-K06400-spoIVCA; site-specific DNA recombinase",531
"NODE_191_length_27456_cov_36.879201||full_8-(6466..7929)-K06400-spoIVCA; site-specific DNA recombinase",1464
"NODE_814_length_14307_cov_14.468355||full_25-(12469..14211)-K06400-spoIVCA; site-specific DNA recombinase",1743
"NODE_1537_length_9650_cov_125.606983||full_6-(2956..4764)-VOG15133-REFSEQ integrase core domain protein",1809
"NODE_289_length_23697_cov_26.573682||full_25-(21108..21953)-PF12784.7-PD-(D/E)XK nuclease family transposase",846
"NODE_2106_length_7708_cov_7.477460||full_1 1-4755/7704_3-(1945..3672)-PF01609.21-Transposase DDE domain",1728
"NODE_923_length_7930_cov_24.890667||full_4-(2751..3854)-K14059-int; integrase",1104
"NODE_5815_length_2316_cov_3.734188||full_3-(1911..2108)-K07482-K07482; transposase, IS30 family",198
"NODE_392_length_13505_cov_17.724610||full_1-(1..1485)-K06400-spoIVCA; site-specific DNA recombinase",1485
"NODE_282_length_15888_cov_19.698288||full_29-(15564..15884)-K03733-xerC; integrase/recombinase XerC",321
"NODE_638_length_10131_cov_15.002382||full_15-(6867..7121)-K07482-K07482; transposase, IS30 family",255
"NODE_42_length_36014_cov_62.223282||full_18-(13505..14524)-K14059-int; integrase",1020
"NODE_42_length_36014_cov_62.223282||full_22-(15801..17414)-K06400-spoIVCA; site-specific DNA recombinase",1614
"NODE_42_length_36014_cov_62.223282||full_23-(17402..18685)-K06400-spoIVCA; site-specific DNA recombinase",1284
"NODE_42_length_36014_cov_62.223282||full_37-(32010..32579)-K07482-K07482; transposase, IS30 family",570
"NODE_233_length_17318_cov_19.231072||full_11-(14363..14965)-K04763-xerD; integrase/recombinase XerD",603
"NODE_696_length_9635_cov_17.728914||full_10-(4684..6492)-VOG15133-REFSEQ integrase core domain protein",1809
"NODE_3949_length_2983_cov_15.107240||full_3-(543..2348)-K06400-spoIVCA; site-specific DNA recombinase",1806
"NODE_1556_length_5586_cov_6.782318||full_5-(2362..3924)-PF03050.14-Transposase IS66 family",1563
"NODE_4_length_72678_cov_13.771849||full_9-(5090..5683)-K21528-gin; serine recombinase [EC:3.1.22.- 6.5.1.-]",594
"NODE_4_length_72678_cov_13.771849||full_92-(68134..69741)-VOG00520-sp|P03015|GIN_BPMU Serine recombinase gin",1608
"NODE_4_length_72678_cov_13.771849||full_95-(71042..72565)-K06400-spoIVCA; site-specific DNA recombinase",1524
"NODE_3957_length_2980_cov_3.856068||full_4-(1461..2525)-K04763-xerD; integrase/recombinase XerD",1065
"NODE_2330_length_4243_cov_9.511461||full_7-(2964..4052)-K07482-K07482; transposase, IS30 family",1089
"NODE_8649_length_1790_cov_3.412104||full_2-(355..1170)-K07496-K07496; putative transposase",816
"NODE_8018_length_1878_cov_2.691717||full_1-(1..552)-K04763-xerD; integrase/recombinase XerD",552
"NODE_3979_length_2972_cov_4.086047||full_1-(1..633)-K07496-K07496; putative transposase",633
"NODE_7762_length_1917_cov_2.111708||full_4-(1302..1916)-K21528-gin; serine recombinase [EC:3.1.22.- 6.5.1.-]",615
"NODE_1932_length_4836_cov_18.240117||full_7-(4182..4823)-VOG00758-sp|P16942|T629_SHISO Transposase for insertion sequence element IS629",642
"NODE_7496_length_1959_cov_3.379727||full_2-(345..1277)-K14059-int; integrase",933
"NODE_9041_length_1737_cov_6.156361||full_1-(1..822)-VOG00758-sp|P16942|T629_SHISO Transposase for insertion sequence element IS629",822
"NODE_9041_length_1737_cov_6.156361||full_2-(870..1187)-K07483-K07483; transposase",318
"NODE_17_length_49354_cov_65.228098||full_1 6598-49245/49245_1-(425..1549)-K07482-K07482; transposase, IS30 family",1125
"NODE_1841_length_5007_cov_18.703352||full_9-(4113..4586)-K06400-spoIVCA; site-specific DNA recombinase",474
"NODE_4676_length_2661_cov_3.405986||full_2-(821..1189)-K06400-spoIVCA; site-specific DNA recombinase",369
"NODE_4676_length_2661_cov_3.405986||full_3-(1179..2060)-K06400-spoIVCA; site-specific DNA recombinase",882
"NODE_84_length_28533_cov_13.719081||full_10-(7679..9142)-K06400-spoIVCA; site-specific DNA recombinase",1464
"NODE_788_length_8829_cov_13.187144||full_13-(6796..8526)-K06400-spoIVCA; site-specific DNA recombinase",1731
"NODE_138_length_22209_cov_18.629096||full_30-(20912..21946)-K07482-K07482; transposase, IS30 family",1035
"NODE_16_length_47634_cov_14.535951||full_1-(1..1608)-VOG00520-sp|P03015|GIN_BPMU Serine recombinase gin",1608
"NODE_6843_length_2908_cov_7.516299||full_4-(2242..2709)-PF14659.6-Phage integrase, N-terminal SAM-like domain",468
"NODE_870_length_10178_cov_23.623926||full_3-(3002..3256)-K07482-K07482; transposase, IS30 family",255
"NODE_5070_length_3549_cov_6.019748||full_5-(2361..3257)-K04763-xerD; integrase/recombinase XerD",897
"NODE_46_length_35963_cov_92.426618||full_1 1-26143/35960_9-(3394..3963)-K07482-K07482; transposase, IS30 family",570
"NODE_46_length_35963_cov_92.426618||full_1 1-26143/35960_23-(17288..18571)-K06400-spoIVCA; site-specific DNA recombinase",1284
"NODE_46_length_35963_cov_92.426618||full_1 1-26143/35960_24-(18559..20172)-K06400-spoIVCA; site-specific DNA recombinase",1614
"NODE_46_length_35963_cov_92.426618||full_1 1-26143/35960_28-(21473..22468)-K14059-int; integrase",996
"NODE_18_length_46028_cov_22.831597||full_1 1-21958/46027_30-(20924..21958)-K07482-K07482; transposase, IS30 family",1035
"NODE_36_length_39211_cov_15.048575||full_1-(1..435)-K07492-K07492; putative transposase",435
"NODE_4613_length_3771_cov_4.806781||full_1-(1..531)-K06400-spoIVCA; site-specific DNA recombinase",531
"NODE_4613_length_3771_cov_4.806781||full_2-(531..2156)-K06400-spoIVCA; site-specific DNA recombinase",1626
"NODE_739_length_11120_cov_15.795391||full_2-(2411..2716)-K07482-K07482; transposase, IS30 family",306
"NODE_5140_length_3520_cov_20.043001||full_6-(2884..3354)-K06400-spoIVCA; site-specific DNA recombinase",471
"NODE_13_length_49357_cov_90.714089||full_1 6598-49248/49248_1-(425..1549)-K07482-K07482; transposase, IS30 family",1125
"NODE_2491_length_5526_cov_11.276366||full_2-(162..1703)-K06400-spoIVCA; site-specific DNA recombinase",1542
"NODE_2491_length_5526_cov_11.276366||full_3-(1696..3342)-K06400-spoIVCA; site-specific DNA recombinase",1647
"NODE_2491_length_5526_cov_11.276366||full_4-(3344..4957)-K06400-spoIVCA; site-specific DNA recombinase",1614
"NODE_1675_length_7022_cov_10.234678||full_8-(4631..6175)-K06400-spoIVCA; site-specific DNA recombinase",1545
"NODE_973_length_9644_cov_27.209511||full_10-(4693..6501)-VOG15133-REFSEQ integrase core domain protein",1809
"NODE_757_length_11018_cov_4.444221||full_15-(6825..8045)-K03733-xerC; integrase/recombinase XerC",1221
"NODE_78_length_29652_cov_7.247289||full_36-(28163..29647)-K06400-spoIVCA; site-specific DNA recombinase",1485
"NODE_863_length_10262_cov_18.774762||full_6-(2880..3941)-K07482-K07482; transposase, IS30 family",1062
"NODE_4646_length_3754_cov_7.464450||full_3-(1157..1813)-K03733-xerC; integrase/recombinase XerC",657
"NODE_4426_length_3890_cov_4.966884||full_5-(2405..3532)-K14059-int; integrase",1128
"NODE_4491_length_3849_cov_3.975751||full_6-(2275..3774)-K06400-spoIVCA; site-specific DNA recombinase",1500
"NODE_99_length_28283_cov_20.201325||0_partial_1-(1..1611)-K06400-spoIVCA; site-specific DNA recombinase",1611
"NODE_3807_length_4274_cov_18.059493||full_7-(3630..4271)-VOG00758-sp|P16942|T629_SHISO Transposase for insertion sequence element IS629",642
"NODE_2823_length_5135_cov_2.855512||full_2-(549..1565)-K04763-xerD; integrase/recombinase XerD",1017
"NODE_2823_length_5135_cov_2.855512||full_7-(3528..4091)-K04763-xerD; integrase/recombinase XerD",564
"NODE_3928_length_4193_cov_4.328903||full_5-(2493..4094)-VOG00520-sp|P03015|GIN_BPMU Serine recombinase gin",1602
"NODE_1959_length_6423_cov_40.584014||full_1 1-4111/6174_6-(3080..3571)-K14059-int; integrase",492
"NODE_1716_length_6895_cov_6.621491||full_3-(481..2217)-K06400-spoIVCA; site-specific DNA recombinase",1737
"NODE_2541_length_5470_cov_31.516898||full_4-(1872..2516)-K04763-xerD; integrase/recombinase XerD",645
"NODE_5240_length_3470_cov_3.815520||full_4-(1558..3069)-K06400-spoIVCA; site-specific DNA recombinase",1512
"NODE_5240_length_3470_cov_3.815520||full_5-(3062..3466)-K06400-spoIVCA; site-specific DNA recombinase",405
"NODE_50_length_35593_cov_15.077635||full_55-(33850..35415)-K06400-spoIVCA; site-specific DNA recombinase",1566
"NODE_5355_length_3419_cov_8.680737||full_3-(1013..2053)-K04763-xerD; integrase/recombinase XerD",1041
"NODE_127_length_25340_cov_8.073759||0_partial_21-(16223..17164)-PF12784.7-PD-(D/E)XK nuclease family transposase",942
"NODE_4120_length_4060_cov_4.042697||full_3-(610..2241)-K06400-spoIVCA; site-specific DNA recombinase",1632
"NODE_4120_length_4060_cov_4.042697||full_4-(2242..3879)-K06400-spoIVCA; site-specific DNA recombinase",1638
"NODE_2436_length_5604_cov_3.830059||full_3-(879..2438)-K06400-spoIVCA; site-specific DNA recombinase",1560
"NODE_2436_length_5604_cov_3.830059||full_4-(2431..4155)-K06400-spoIVCA; site-specific DNA recombinase",1725
"NODE_2436_length_5604_cov_3.830059||full_5-(4157..5602)-K06400-spoIVCA; site-specific DNA recombinase",1446
"NODE_4944_length_3614_cov_2.803035||full_3-(1031..2614)-K06400-spoIVCA; site-specific DNA recombinase",1584
"NODE_4944_length_3614_cov_2.803035||full_4-(2616..3611)-K06400-spoIVCA; site-specific DNA recombinase",996
"NODE_6222_length_3098_cov_56.878081||full_5-(2358..3098)-K07496-K07496; putative transposase",741
"NODE_5883_length_3209_cov_6.635701||full_3-(1811..2698)-K14059-int; integrase",888
"NODE_1712_length_6905_cov_5.034161||full_13-(5934..6749)-K04763-xerD; integrase/recombinase XerD",816
"NODE_3461_length_4544_cov_9.608822||full_4-(2606..4540)-K06400-spoIVCA; site-specific DNA recombinase",1935
"NODE_18215_length_1441_cov_4.868687||full_4-(1039..1440)-PF14659.6-Phage integrase, N-terminal SAM-like domain",402
"NODE_4583_length_3790_cov_91.762249||full_3-(1823..3346)-K06400-spoIVCA; site-specific DNA recombinase",1524
"NODE_10466_length_2169_cov_2.645222||full_1-(1..1581)-K06400-spoIVCA; site-specific DNA recombinase",1581
"NODE_421_length_14800_cov_8.512309||full_19-(10910..12037)-K04763-xerD; integrase/recombinase XerD",1128
"NODE_2744_length_5027_cov_5.105390||full_1-(1..1035)-K06400-spoIVCA; site-specific DNA recombinase",1035
"NODE_2744_length_5027_cov_5.105390||full_2-(1032..2669)-K06400-spoIVCA; site-specific DNA recombinase",1638
"NODE_2744_length_5027_cov_5.105390||full_3-(2703..4292)-K06400-spoIVCA; site-specific DNA recombinase",1590
"NODE_7754_length_2556_cov_3.476609||full_3-(576..1421)-K04763-xerD; integrase/recombinase XerD",846
"NODE_2324_length_5565_cov_16.873140||full_1 1-5382/5563_5-(3772..5382)-K06400-spoIVCA; site-specific DNA recombinase",1611
"NODE_925_length_9579_cov_6.472386||full_14-(6105..8066)-VOG00758-sp|P16942|T629_SHISO Transposase for insertion sequence element IS629",1962
"NODE_2586_length_5203_cov_4.643551||full_2-(2195..3319)-K07482-K07482; transposase, IS30 family",1125
"NODE_2474_length_5333_cov_4.202349||full_3-(853..1977)-K04763-xerD; integrase/recombinase XerD",1125
"NODE_221_length_19368_cov_14.250350||full_12-(13057..14052)-K03733-xerC; integrase/recombinase XerC",996
"NODE_6965_length_2750_cov_2.912801||full_3-(450..2270)-K06400-spoIVCA; site-specific DNA recombinase",1821
"NODE_4815_length_3510_cov_5.216498||full_1-(1..1050)-K06400-spoIVCA; site-specific DNA recombinase",1050
"NODE_4815_length_3510_cov_5.216498||full_2-(1038..2321)-K06400-spoIVCA; site-specific DNA recombinase",1284
"NODE_5612_length_3188_cov_4.092563||full_6-(2659..3186)-K07496-K07496; putative transposase",528
"NODE_1562_length_6936_cov_3.986485||full_1-(1..1044)-K07496-K07496; putative transposase",1044
"NODE_443_length_14260_cov_17.280957||full_13-(10978..12489)-K06400-spoIVCA; site-specific DNA recombinase",1512
"NODE_443_length_14260_cov_17.280957||full_14-(12474..14057)-K06400-spoIVCA; site-specific DNA recombinase",1584
"NODE_10235_length_2093_cov_24.657017||full_4-(934..2022)-K07482-K07482; transposase, IS30 family",1089
"NODE_5721_length_3153_cov_28.108780||full_1-(1..1176)-K06400-spoIVCA; site-specific DNA recombinase",1176
"NODE_5721_length_3153_cov_28.108780||full_3-(1586..2788)-K06400-spoIVCA; site-specific DNA recombinase",1203
"NODE_1935_length_6224_cov_15.693305||full_3-(3007..4140)-K04763-xerD; integrase/recombinase XerD",1134
"NODE_780_length_10512_cov_4.819642||full_1-(1..978)-K04763-xerD; integrase/recombinase XerD",978
"NODE_780_length_10512_cov_4.819642||full_2-(1064..2563)-K06400-spoIVCA; site-specific DNA recombinase",1500
"NODE_126_length_23648_cov_21.874115||full_29-(23378..23599)-VOG02220-sp|P59696|T200_SALTY Transposase for insertion sequence element IS200",222
"NODE_1682_length_6655_cov_5.608939||full_10-(5202..6653)-K06400-spoIVCA; site-specific DNA recombinase",1452
"NODE_5136_length_3373_cov_4.649789||full_1-(1..993)-K07482-K07482; transposase, IS30 family",993
"NODE_414_length_14622_cov_4.239171||full_11-(13375..14562)-K07496-K07496; putative transposase",1188
"NODE_7706_length_2568_cov_21.130123||full_2-(750..1988)-K14059-int; integrase",1239
"NODE_3259_length_4506_cov_3.563469||full_6-(1978..3126)-K07496-K07496; putative transposase",1149
"NODE_906_length_9730_cov_11.067804||full_7-(3228..5036)-VOG15133-REFSEQ integrase core domain protein",1809
"NODE_8960_length_2306_cov_8.134163||full_4-(1256..1690)-VOG02220-sp|P59696|T200_SALTY Transposase for insertion sequence element IS200",435
"NODE_1755_length_6521_cov_4.172904||full_6-(3272..4561)-VOG00758-sp|P16942|T629_SHISO Transposase for insertion sequence element IS629",1290
"NODE_8131_length_2468_cov_3.876502||full_3-(865..1650)-PF13612.6-Transposase DDE domain",786
"NODE_332_length_16187_cov_13.682184||full_16-(12372..13505)-K04763-xerD; integrase/recombinase XerD",1134
"NODE_1152_length_8357_cov_11.267887||full_16-(6268..7479)-K14059-int; integrase",1212
"NODE_617_length_12002_cov_4.722273||full_1-(1..1530)-VOG00758-sp|P16942|T629_SHISO Transposase for insertion sequence element IS629",1530
"NODE_4131_length_3894_cov_3.296692||full_4-(1313..2896)-K06400-spoIVCA; site-specific DNA recombinase",1584
"NODE_4131_length_3894_cov_3.296692||full_5-(2898..3881)-K06400-spoIVCA; site-specific DNA recombinase",984
"NODE_2579_length_5209_cov_3.353318||full_1-(1..1401)-VOG00022-sp|P54992|YSNA_STRPR Putative transposase in snaA-snaB intergenic region",1401
"NODE_7026_length_2731_cov_5.742526||full_2-(628..1299)-K21528-gin; serine recombinase [EC:3.1.22.- 6.5.1.-]",672
"NODE_267_length_17858_cov_8.361681||full_12-(14906..15508)-K04763-xerD; integrase/recombinase XerD",603
"NODE_7_length_60969_cov_53.982057||full_1 5472-60966/60966_1-(386..1417)-K03733-xerC; integrase/recombinase XerC",1032
"NODE_7_length_60969_cov_53.982057||full_1 5472-60966/60966_3-(2396..4318)-K03733-xerC; integrase/recombinase XerC",1923
"NODE_7_length_60969_cov_53.982057||full_1 5472-60966/60966_74-(53893..55392)-K06400-spoIVCA; site-specific DNA recombinase",1500
"NODE_3630_length_4224_cov_38.733989||full_1-(1..1194)-PF00872.18-Transposase, Mutator family",1194
"NODE_432_length_14357_cov_5.185638||full_7-(2815..3807)-K04763-xerD; integrase/recombinase XerD",993
"NODE_10253_length_2092_cov_5.859597||full_2-(228..971)-VOG00758-sp|P16942|T629_SHISO Transposase for insertion sequence element IS629",744
"NODE_10253_length_2092_cov_5.859597||full_3-(1142..1429)-K07483-K07483; transposase",288
"NODE_9427_length_1578_cov_2.401838||full_4-(907..1524)-K07482-K07482; transposase, IS30 family",618
"NODE_4519_length_2657_cov_3.574174||full_3-(1007..2047)-K04763-xerD; integrase/recombinase XerD",1041
"NODE_1761_length_5282_cov_12.314329||full_4-(3938..5092)-K03733-xerC; integrase/recombinase XerC",1155
"NODE_5848_length_2205_cov_4.692558||full_2-(433..1368)-K04763-xerD; integrase/recombinase XerD",936
"NODE_3650_length_3099_cov_13.909330||full_1-(1..741)-K07496-K07496; putative transposase",741
"NODE_361_length_13153_cov_23.266300||full_22-(9813..10916)-K14059-int; integrase",1104
"NODE_1119_length_7084_cov_25.039835||full_1 1444-6953/6953_7-(4020..5510)-K06400-spoIVCA; site-specific DNA recombinase",1491
"NODE_293_length_14330_cov_8.380876||full_1 1-8047/12991_16-(6827..8047)-K03733-xerC; integrase/recombinase XerC",1221
"NODE_275_length_14569_cov_11.563180||full_1-(1..351)-K07496-K07496; putative transposase",351
"NODE_46_length_25989_cov_16.053559||full_1-(1..1563)-K06400-spoIVCA; site-specific DNA recombinase",1563
"NODE_3_length_62062_cov_11.038899||full_1-(1..804)-K07496-K07496; putative transposase",804
"NODE_22_length_31631_cov_6.864581||full_2-(2170..3390)-K03733-xerC; integrase/recombinase XerC",1221
"NODE_705_length_5592_cov_5.571609||full_3-(1011..2030)-K04763-xerD; integrase/recombinase XerD",1020
"NODE_694_length_5664_cov_3.498306||full_1-(1..1302)-K14059-int; integrase",1302
"NODE_374_length_8300_cov_27.239054||full_2-(184..1404)-K14059-int; integrase",1221
"NODE_1835_length_3305_cov_3.957538||full_5-(1133..2758)-K06400-spoIVCA; site-specific DNA recombinase",1626
"NODE_1835_length_3305_cov_3.957538||full_6-(2758..3303)-K06400-spoIVCA; site-specific DNA recombinase",546
"NODE_148_length_14671_cov_31.714423||full_17-(13489..14469)-K03733-xerC; integrase/recombinase XerC",981
"NODE_441_length_7451_cov_8.248513||full_4-(5159..5803)-K04763-xerD; integrase/recombinase XerD",645
"NODE_4049_length_2148_cov_7.063067||full_1-(1..372)-K06400-spoIVCA; site-specific DNA recombinase",372
"NODE_529_length_6587_cov_5.951929||full_6-(2956..4764)-VOG15133-REFSEQ integrase core domain protein",1809
